outer_loop_array_packed,middle_loop_array_packed,inner_loop_array_packed,outer_loop_tiling_factor,middle_loop_tiling_factor,inner_loop_tiling_factor,objective
True,True,True,50,50,8,0.001043
True,True,True,50,50,16,0.0006875
True,True,True,50,50,20,0.0007459999999999
True,True,True,50,50,32,0.0006954999999999
True,True,True,50,50,50,0.0006435
True,True,True,50,50,64,0.0006325
True,True,True,50,50,80,0.000618
True,True,True,50,50,100,0.0005355
True,True,True,50,50,128,0.0006445
True,True,True,50,50,256,0.00123
True,True,True,50,64,4,0.0018015
True,True,True,50,64,8,0.001039
True,True,True,50,64,16,0.0006904999999999
True,True,True,50,64,20,0.000645
True,True,True,50,64,32,0.0006225
True,True,True,50,64,50,0.000557
True,True,True,50,64,64,0.000584
True,True,True,50,64,80,0.0005345
True,True,True,50,64,100,0.000646
True,True,True,50,64,128,0.0005865
True,True,True,50,64,256,0.0034535
True,True,True,50,80,4,0.001676
True,True,True,50,80,8,0.001001
True,True,True,50,80,16,0.000661
True,True,True,50,80,20,0.0006735
True,True,True,50,80,32,0.000559
True,True,True,50,80,50,0.000662
True,True,True,50,80,64,0.000658
True,True,True,50,80,80,0.0006004999999999
True,True,True,50,80,100,0.0005345
True,True,True,50,80,128,0.0005705
True,True,True,50,80,256,0.001415
True,True,True,50,100,4,0.001854
True,True,True,50,100,8,0.001101
True,True,True,50,100,16,0.0008015
True,True,True,50,100,20,0.0006895
True,True,True,50,100,32,0.000553
True,True,True,50,100,50,0.000613
True,True,True,50,100,64,0.000529
True,True,True,50,100,80,0.000603
True,True,True,50,100,100,0.000614
True,True,True,50,100,128,0.000697
True,True,True,50,100,256,0.001318
True,True,True,50,128,4,0.001731
True,True,True,50,128,8,0.001066
True,True,True,50,128,16,0.000746
True,True,True,50,128,20,0.0007819999999999
True,True,True,50,128,32,0.000637
True,True,True,50,128,50,0.000631
True,True,True,50,128,64,0.0007065
True,True,True,50,128,80,0.0005805
True,True,True,50,128,100,0.00067
True,True,True,50,128,128,0.000565
True,True,True,50,128,256,0.003675
True,True,True,50,2048,4,0.0018815
True,True,True,50,2048,8,0.0012105
True,True,True,50,2048,16,0.000759
True,True,True,50,2048,20,0.0007005
True,True,True,50,2048,32,0.000633
True,True,True,50,2048,50,0.000662
True,True,True,50,2048,64,0.0007034999999999
True,True,True,50,2048,80,0.0006869999999999
True,True,True,50,2048,100,0.000507
True,True,True,50,2048,128,0.0006405
True,True,True,50,2048,256,0.0013774999999999
True,True,True,64,4,4,0.001928
True,True,True,64,4,8,0.0011985
True,True,True,64,4,16,0.0007815
True,True,True,64,4,20,0.000743
True,True,True,64,4,32,0.0007105
True,True,True,64,4,50,0.0007255
True,True,True,64,4,64,0.0006005
True,True,True,64,4,80,0.0006105
True,True,True,64,4,100,0.0007095
True,True,True,64,4,128,0.0006839999999999
True,True,True,64,4,256,0.0012805
True,True,True,64,8,4,0.001902
True,True,True,64,8,8,0.001086
True,True,True,64,8,16,0.0008655
True,True,True,64,8,20,0.0007199999999999
True,True,True,64,8,32,0.0006265
True,True,True,64,8,50,0.000662
True,True,True,64,8,64,0.0006505
True,True,True,64,8,80,0.000547
True,True,True,64,8,100,0.000611
True,True,True,64,8,128,0.000618
True,True,True,64,8,256,0.001285
True,True,True,64,16,4,0.0018915
True,True,True,64,16,8,0.001059
True,True,True,64,16,16,0.000785
