outer_loop_array_packed,middle_loop_array_packed,inner_loop_array_packed,outer_loop_tiling_factor,middle_loop_tiling_factor,inner_loop_tiling_factor,objective
True,True,True,32,50,80,1.7562135
True,True,True,32,50,100,1.7675014999999998
True,True,True,32,50,128,1.702441
True,True,True,32,50,256,1.6304189999999998
True,True,True,32,64,4,9.4640435
True,True,True,32,64,8,5.25656
True,True,True,32,64,16,3.1084970000000003
True,True,True,32,64,20,2.5277265
True,True,True,32,64,32,2.0818235
True,True,True,32,64,50,1.7489485
True,True,True,32,64,64,1.7545830000000002
True,True,True,32,64,80,1.644482
True,True,True,32,64,100,1.6396730000000002
True,True,True,32,64,128,1.692032
True,True,True,32,64,256,1.621659
True,True,True,32,80,4,9.2519255
True,True,True,32,80,8,5.3292145
True,True,True,32,80,16,3.384332
True,True,True,32,80,20,2.382173
True,True,True,32,80,32,1.8828285
True,True,True,32,80,50,1.8197745
True,True,True,32,80,64,1.788043
True,True,True,32,80,80,1.7350675
True,True,True,32,80,100,1.7600900000000002
True,True,True,32,80,128,1.7135195
True,True,True,32,80,256,1.6119775
True,True,True,32,100,4,9.4705445
True,True,True,32,100,8,5.1644625
True,True,True,32,100,16,3.035579
True,True,True,32,100,20,2.3766645
True,True,True,32,100,32,1.9013865
True,True,True,32,100,50,1.8376485
True,True,True,32,100,64,1.80279
True,True,True,32,100,80,1.6531025
True,True,True,32,100,100,1.7689575000000002
True,True,True,32,100,128,1.6910755000000002
True,True,True,32,100,256,1.6136564999999998
True,True,True,32,128,4,9.3900775
True,True,True,32,128,8,5.2335400000000005
True,True,True,32,128,16,3.113995
True,True,True,32,128,20,2.551805
True,True,True,32,128,32,2.1154035
True,True,True,32,128,50,1.775202
True,True,True,32,128,64,1.881547
True,True,True,32,128,80,1.6691440000000002
True,True,True,32,128,100,1.6526490000000005
True,True,True,32,128,128,1.7067485
True,True,True,32,128,256,1.6138709999999998
True,True,True,32,2048,4,14.1867245
True,True,True,32,2048,8,7.9624405
True,True,True,32,2048,16,4.368501999999999
